coating_thickness_um,coating_uniformity_cv,coating_areal_mass,coating_defect_density,calendering_density,calendering_porosity,calendering_force,slitting_edge_burr,slitting_width_accuracy,assembly_winding_tension,assembly_weld_strength,assembly_initial_resistance,fill_electrolyte_volume,fill_seal_pressure,failed_qc
71.67,1.307,21.6,0.09,3.328,30.77,5919.6,5.3,0.0009,15.14,146.6,11.65,14.843,122.5,1
77.96,0.437,21.5,0.67,3.556,29.51,5988.3,2.3,0.0153,15.36,175.1,11.88,14.96,118.9,0
78.58,0.944,22.19,0.05,3.504,29.14,6113.7,1.42,0.0282,15.47,172.8,10.99,15.049,121.9,0
77.07,1.21,22.24,0.18,3.523,29.73,6093.2,2.24,0.0153,14.76,177.5,10.53,15.14,118.6,0
76.13,0.866,22.03,0.22,3.469,29.5,6018.2,2.36,0.0094,15.15,180.3,11.72,15.065,120.5,0
79.51,0.658,22.49,0.32,3.47,30.88,6147.3,2.7,0.023,15.47,180.3,10.34,15.015,123.3,0
77.36,1.033,22.24,0.19,3.569,31.17,6082.5,2.01,0.0143,15.11,186.3,11.82,15.064,127.4,0
77.03,1.011,22.35,0.75,3.517,30.12,6092.1,2.53,0.0351,15.11,178.5,12.63,15.108,121.8,0
76.5,0.844,21.62,0.07,3.513,31.11,5922.3,2.14,0.0178,14.49,183.9,12.51,14.868,119.5,0
80.56,1.168,21.88,0.42,3.538,28.06,6041.2,1.11,0.0288,14.61,178.7,11.98,14.99,120.5,0
79.18,0.646,22.36,0.73,3.472,32.1,5872.4,2.65,0.0085,15.31,184.4,11.84,14.839,117.4,0
81.19,1.006,21.79,0.53,3.476,27.31,6097.8,2.58,0.0145,14.76,167.5,11.75,15.118,121.9,0
77.5,0.668,21.57,0.41,3.585,31.72,5919.9,2.04,0.0166,14.77,189.4,12.41,15.053,120.8,0
80.53,0.876,21.93,0.05,3.487,31.71,6197.5,2.79,0.0404,15.13,184.0,11.37,15.111,124.9,0
73.03,0.384,22.8,0.28,3.584,28.02,6106.7,6.22,0.0148,15.32,153.9,11.73,14.966,116.4,1
79.6,0.685,22.21,0.53,3.542,31.68,6170.1,2.09,0.0049,15.05,174.3,12.17,14.798,120.8,0
77.78,0.64,21.53,0.47,3.503,31.14,6193.0,2.34,0.0094,14.87,186.1,11.17,14.753,120.4,0
78.24,0.845,21.81,0.84,3.467,28.62,5969.3,3.83,0.0329,15.22,180.2,12.02,15.159,119.1,0
78.7,0.826,21.47,4.07,3.559,31.08,5834.7,1.67,0.0265,15.36,151.1,13.75,14.891,120.4,1
72.95,0.843,22.38,0.4,3.439,30.25,6178.5,3.83,0.0028,14.72,182.8,14.71,14.526,119.7,1
77.13,0.909,22.47,3.08,3.452,29.17,6053.4,4.95,0.0124,14.49,182.9,12.0,14.412,117.1,1
83.91,0.846,22.43,0.65,3.348,30.58,5833.9,1.87,0.0007,14.77,188.1,15.1,14.948,118.8,1
75.32,0.795,21.21,0.42,3.579,30.25,6026.7,1.35,0.0214,14.88,191.3,12.54,15.007,120.4,0
79.9,0.743,21.91,0.49,3.36,30.1,5926.6,5.01,0.0202,14.91,186.9,15.09,14.917,118.6,1
76.88,0.879,21.85,0.21,3.464,29.42,6106.2,3.59,0.0049,15.54,186.3,11.51,14.955,118.6,0
79.7,0.89,22.0,0.55,3.64,29.46,6028.1,4.49,0.0026,14.9,180.2,16.06,14.948,117.9,1
78.12,3.208,22.03,0.76,3.526,30.07,5936.7,1.68,0.0245,16.0,148.0,13.86,15.725,117.2,1
76.99,0.685,21.96,0.47,3.436,29.87,5904.5,1.94,0.0012,15.22,185.6,12.36,14.984,120.4,0
77.83,1.142,21.54,0.01,3.499,30.11,6062.8,2.3,0.0219,14.91,179.8,12.39,15.011,117.1,0
76.77,0.98,22.39,0.29,3.525,32.01,5671.6,3.02,0.0008,15.36,185.7,11.85,14.966,121.6,0
77.1,1.057,21.77,0.49,3.484,30.09,6114.7,1.68,0.0163,15.4,178.8,12.1,15.11,120.7,0
77.51,1.007,21.56,5.64,3.569,29.06,6004.6,2.44,0.0065,15.3,150.3,11.65,15.514,116.4,1
77.74,1.043,21.51,0.23,3.502,31.37,6145.1,0.95,0.0014,15.52,180.6,12.44,14.985,122.5,1
79.21,0.502,22.14,0.59,3.461,29.35,6133.1,2.89,0.0023,14.72,173.8,11.38,14.845,116.0,0
78.71,1.003,23.37,0.19,3.503,28.92,6068.6,2.34,0.0217,14.48,177.8,11.86,15.066,118.1,0
76.84,1.042,22.07,0.25,3.502,29.73,6101.5,2.23,0.0355,14.68,180.7,11.92,14.986,118.2,0
74.21,0.532,22.54,0.72,3.641,31.91,5940.0,5.92,0.0194,15.49,178.5,12.08,14.474,123.2,1
78.64,0.47,22.6,0.34,3.524,30.28,5938.2,2.05,0.0095,15.17,179.4,11.49,15.02,117.0,1
79.21,0.524,22.16,0.06,3.498,30.32,5885.6,2.69,0.034,15.69,183.8,12.52,14.988,118.7,0
74.9,0.916,20.99,0.71,3.559,31.25,6094.5,0.95,0.0033,15.29,183.5,12.22,14.996,120.5,0
77.56,1.269,21.16,0.69,3.563,29.37,5938.2,1.91,0.008,15.01,173.9,11.82,14.798,120.4,0
78.76,0.917,22.22,0.6,3.53,30.7,5995.5,2.51,0.01,15.06,185.8,11.62,15.009,118.7,0
75.91,0.94,21.98,0.5,3.483,28.64,6022.3,2.2,0.0174,15.11,181.0,11.72,15.114,125.6,0
79.23,0.452,21.66,0.47,3.478,30.78,6017.3,3.13,0.0175,15.48,183.8,10.63,15.075,121.4,0
75.4,1.228,22.05,0.49,3.52,30.24,5904.5,2.35,0.0047,15.25,174.6,12.13,14.953,122.1,0
76.88,1.273,21.72,3.24,3.36,29.97,6056.6,2.39,0.0264,15.59,144.7,14.06,15.035,117.0,1
83.08,2.633,21.78,0.65,3.438,29.67,6165.8,1.71,0.0091,15.24,182.0,12.12,14.416,117.4,1
79.38,1.536,22.28,0.52,3.498,31.22,5811.0,1.28,0.0029,15.28,170.9,11.42,14.935,117.0,0
76.91,0.501,21.62,0.52,3.488,30.5,6044.6,3.4,0.027,15.0,178.2,11.5,14.973,124.9,0
81.65,1.102,22.54,3.51,3.471,30.71,5918.8,7.34,0.0114,15.0,150.7,11.48,14.981,122.1,1
76.4,2.505,22.06,0.05,3.394,30.74,5918.2,3.17,0.0146,15.1,149.0,11.5,14.842,121.6,1
78.89,1.157,22.28,0.22,3.563,30.91,6116.6,2.85,0.0411,14.6,184.4,12.13,15.246,122.5,0
78.17,1.069,21.72,0.86,3.488,29.03,5876.8,2.46,0.0022,14.77,174.1,12.31,14.97,116.4,0
73.98,1.089,21.97,4.85,3.469,28.99,6066.6,2.43,0.0228,15.36,158.4,11.66,14.979,123.1,1
76.38,0.369,21.88,0.04,3.534,29.09,5639.1,1.79,0.0008,15.05,182.2,11.56,14.929,122.8,0
77.73,1.051,22.01,0.39,3.507,29.4,6240.0,1.62,0.0285,15.01,172.6,11.92,14.794,119.4,0
77.4,1.494,22.0,0.12,3.531,30.73,6069.2,2.57,0.0116,15.5,180.8,11.28,15.029,120.8,0
79.13,0.996,21.62,0.16,3.506,29.53,5969.4,0.79,0.0225,14.74,188.5,11.04,15.202,122.7,0
76.29,1.129,22.32,0.36,3.493,29.58,6098.7,2.99,0.0194,15.32,191.6,12.16,14.978,120.2,0
72.15,0.9,22.61,2.95,3.475,29.84,5806.4,4.69,0.0283,15.01,180.5,12.08,15.005,123.1,1
76.14,1.177,22.23,0.68,3.686,30.29,6033.1,3.34,0.0136,14.99,186.8,13.54,15.815,122.9,1
77.25,0.905,22.51,0.54,3.496,30.64,5986.9,1.65,0.0303,15.09,185.4,11.62,14.965,117.1,0
77.55,1.09,22.6,0.39,3.486,28.45,6027.3,2.33,0.0474,15.98,183.5,11.31,15.013,118.5,0
76.72,0.871,21.98,0.7,3.47,31.18,6103.2,2.09,0.0341,14.68,178.1,11.32,15.042,117.1,0
78.43,0.387,22.38,0.17,3.461,29.56,6168.2,2.59,0.027,15.74,181.5,12.09,15.097,115.8,0
80.73,1.189,22.71,0.28,3.492,29.7,6072.6,1.6,0.018,15.18,180.1,11.49,15.145,118.3,1
76.14,0.852,22.21,0.44,3.493,29.87,6135.4,2.26,0.0205,13.85,172.8,12.3,15.05,117.9,0
76.83,0.688,21.81,0.3,3.472,29.17,6133.4,1.65,0.0088,15.42,184.7,12.09,14.796,120.7,0
77.4,0.205,22.25,0.23,3.534,28.42,5893.1,2.66,0.0122,15.08,175.9,11.76,15.104,120.4,0
77.13,1.09,21.75,0.67,3.567,30.6,5994.0,2.63,0.017,14.74,184.5,11.66,14.975,120.8,0
77.2,0.39,21.91,1.01,3.5,29.42,5965.5,2.11,0.005,14.41,182.8,11.44,14.978,117.7,0
77.04,1.118,22.23,0.62,3.497,31.5,6245.7,2.52,0.0431,15.26,183.0,11.46,14.827,120.2,0
76.48,0.545,21.67,1.18,3.511,29.48,6078.0,1.24,0.0122,15.15,187.0,10.87,14.94,122.7,0
77.91,0.424,22.08,0.55,3.502,28.98,6021.6,2.1,0.0042,15.51,187.4,10.86,15.11,121.3,0
78.76,1.056,21.96,0.33,3.493,28.53,6017.9,2.94,0.0072,15.67,178.0,11.5,15.072,121.3,0
82.02,1.248,21.71,3.6,3.336,29.58,6115.8,2.82,0.0426,15.23,188.2,14.0,15.073,117.6,1
77.21,0.925,22.28,0.96,3.503,30.81,5981.2,2.14,0.0139,15.38,190.1,11.94,14.976,119.9,0
76.5,1.002,21.94,0.33,3.456,31.27,5920.3,1.75,0.0166,15.38,189.2,11.19,14.966,120.1,0
79.38,0.727,21.92,0.18,3.483,29.61,5899.5,2.08,0.0168,14.08,189.7,11.58,15.102,120.8,0
78.28,2.351,21.9,0.35,3.617,29.19,6032.9,1.2,0.006,14.76,178.4,15.18,15.1,115.9,1
73.99,1.065,21.84,0.23,3.54,29.31,5981.8,2.5,0.0099,15.61,186.4,11.66,14.918,116.6,0
75.36,1.231,22.11,0.22,3.495,30.32,5976.7,2.39,0.022,14.94,182.1,12.05,14.887,119.6,0
78.49,0.808,22.33,0.04,3.423,29.85,5863.4,2.45,0.0225,15.41,185.8,12.21,15.079,117.9,0
78.17,0.87,21.57,0.27,3.516,30.48,5850.9,2.67,0.0069,15.1,186.9,11.24,14.918,122.7,0
76.64,0.676,22.46,0.07,3.468,29.82,5945.6,1.45,0.0051,14.48,182.8,11.44,14.983,123.6,0
77.01,0.602,21.9,0.24,3.488,30.4,6088.0,1.96,0.0465,15.06,177.9,11.81,14.742,118.1,0
75.89,0.331,21.69,0.68,3.425,29.25,6166.3,1.78,0.0197,15.62,179.2,11.89,14.967,121.7,0
79.27,0.405,21.46,0.72,3.437,30.36,5908.4,1.37,0.0072,15.37,179.0,11.87,15.01,118.4,0
79.74,1.389,21.67,0.53,3.431,30.32,6135.2,2.71,0.0173,14.62,185.8,12.5,15.096,118.9,0
77.21,0.986,21.84,0.6,3.515,31.16,5987.8,1.73,0.0039,15.45,178.7,11.88,14.983,121.0,0
75.89,0.38,21.66,0.56,3.462,29.15,5946.2,2.91,0.0318,15.47,179.0,11.96,15.208,124.0,0
79.5,0.903,21.33,0.09,3.515,30.18,5822.8,2.5,0.0282,15.66,183.0,12.07,15.062,119.7,0
77.89,1.422,21.08,0.25,3.554,29.8,6056.0,2.17,0.0058,15.46,184.2,12.21,14.81,122.4,0
76.12,1.084,21.77,0.36,3.473,30.83,6046.7,1.86,0.0333,14.61,182.1,10.89,15.154,123.4,0
79.09,0.713,21.89,0.42,3.555,29.6,5838.4,0.63,0.015,15.76,180.6,11.37,15.049,122.6,0
77.55,1.256,21.43,0.42,3.546,30.36,6101.9,2.4,0.0064,14.9,186.8,11.74,14.968,122.0,0
79.33,0.332,22.21,0.1,3.488,30.1,5883.6,3.53,0.0013,14.86,187.8,11.52,15.064,123.5,0
78.98,1.794,22.92,3.45,3.355,29.55,5939.2,1.12,0.0081,15.36,179.5,11.67,15.325,120.7,1
79.97,1.342,22.22,0.23,3.498,30.79,6150.1,2.87,0.0022,15.35,182.3,11.9,14.818,122.4,0
76.99,0.339,21.71,0.05,3.588,29.51,5933.0,2.04,0.0385,14.82,187.5,11.58,15.023,115.0,0
78.68,0.726,22.17,0.17,3.5,28.9,6034.9,1.95,0.0013,15.26,178.7,11.39,14.855,119.0,0
75.89,2.793,21.92,0.88,3.682,29.41,6151.6,1.94,0.0027,14.14,135.7,11.78,14.829,120.7,1
76.35,0.643,22.75,0.88,3.526,31.75,6221.7,1.07,0.0041,15.19,184.6,12.09,15.017,120.6,0
79.45,1.432,22.43,0.15,3.494,29.07,5985.9,2.22,0.0004,14.85,189.2,12.07,14.915,115.6,0
78.78,1.144,22.15,0.16,3.491,29.73,5834.9,2.29,0.0231,15.33,187.1,12.46,14.871,119.2,0
75.55,0.979,22.8,0.34,3.476,29.7,6021.3,2.42,0.0168,15.01,184.6,12.13,14.976,125.2,0
77.37,0.97,22.06,0.31,3.514,30.92,5833.6,2.58,0.0049,15.44,185.0,12.21,14.975,118.6,0
72.46,0.988,22.05,0.18,3.532,29.36,6102.9,2.79,0.0166,15.95,181.4,11.76,15.618,120.7,1
79.61,0.971,22.1,0.52,3.462,29.75,6138.4,2.38,0.0218,14.61,178.8,11.81,15.221,120.7,0
78.36,0.41,22.39,0.66,3.519,30.39,6110.0,0.75,0.0022,15.01,181.8,12.17,15.313,122.3,0
77.29,1.408,22.21,0.29,3.536,31.14,6109.3,2.25,0.0059,15.52,182.1,11.52,14.969,114.2,0
77.05,1.425,22.13,0.07,3.524,31.25,6019.8,2.57,0.0118,14.71,191.4,12.43,14.952,120.2,0
77.94,0.835,22.21,0.37,3.571,29.4,5905.3,2.78,0.0042,15.07,187.1,12.2,15.23,124.0,0
80.28,1.193,21.61,0.32,3.502,29.18,5883.5,1.74,0.0196,15.24,172.8,12.25,15.178,119.5,0
81.28,0.896,21.68,0.4,3.492,30.06,5999.4,1.56,0.0301,14.09,184.4,11.76,15.098,120.4,0
77.59,0.934,21.46,3.42,3.508,27.68,6033.3,5.05,0.0082,15.52,181.7,11.54,14.395,122.1,1
76.71,0.854,21.79,0.47,3.515,29.52,6080.0,2.19,0.0044,14.4,181.5,10.8,14.932,121.7,0
78.31,0.901,21.63,0.31,3.518,28.41,6131.8,2.18,0.0229,14.69,188.1,11.81,15.018,116.8,0
77.91,0.912,21.31,0.12,3.543,30.71,5996.3,1.86,0.0028,15.61,183.7,12.33,15.088,116.7,0
75.69,1.019,22.05,0.41,3.51,29.13,5777.7,1.89,0.0342,15.39,186.4,11.52,15.119,120.0,0
75.64,0.571,21.73,4.31,3.508,31.05,6148.4,6.99,0.0008,15.43,187.5,11.54,14.419,120.6,1
78.13,0.862,21.77,0.6,3.503,31.03,6103.9,2.3,0.0256,14.81,182.0,12.46,14.932,115.2,0
73.78,1.736,22.53,0.87,3.687,28.21,5959.5,1.48,0.02,15.26,188.4,11.45,14.839,119.7,1
77.05,0.622,22.91,3.13,3.63,30.83,6010.9,2.34,0.0075,15.13,169.9,14.08,14.966,116.4,1
77.02,1.102,21.7,0.48,3.491,29.44,5949.7,2.14,0.0204,15.2,182.9,11.81,15.067,120.9,0
78.34,1.099,22.82,0.43,3.45,29.74,5967.6,2.32,0.0026,15.8,175.2,11.78,14.982,119.8,0
76.4,0.967,21.36,0.63,3.495,29.77,6024.9,2.82,0.0206,15.87,173.4,11.49,15.041,118.4,0
82.45,1.088,22.15,5.0,3.548,30.86,5673.2,2.7,0.0039,15.17,178.8,11.05,15.548,128.2,1
79.34,0.517,21.72,0.58,3.487,29.04,6036.4,2.46,0.0498,14.9,178.1,11.43,15.235,119.9,0
77.74,1.316,21.26,0.49,3.473,28.88,5927.0,1.76,0.0529,15.25,186.6,12.18,14.862,120.0,0
78.28,1.497,22.13,3.06,3.485,30.98,5991.9,1.62,0.0056,15.16,189.6,14.31,15.744,120.8,1
78.66,0.981,21.74,0.04,3.508,28.76,6059.2,2.36,0.0002,15.79,178.1,11.98,14.917,122.8,0
77.06,0.897,22.44,0.54,3.464,29.46,6121.0,2.29,0.0021,15.69,180.7,11.99,15.029,120.4,0
77.32,1.044,22.0,0.28,3.496,29.25,6185.2,2.37,0.0261,15.17,187.0,11.64,15.04,118.3,0
76.88,0.623,22.13,0.43,3.581,33.33,6048.2,2.97,0.0254,14.83,172.0,11.03,15.191,122.2,1
76.96,1.573,22.11,0.19,3.5,28.83,6181.5,2.85,0.0019,14.49,140.1,14.76,14.288,117.2,1
79.67,0.854,21.21,0.31,3.55,29.33,6267.6,2.9,0.0098,15.31,183.3,12.02,14.929,120.3,0
75.68,1.072,21.32,0.49,3.489,29.8,6008.5,2.49,0.0182,15.21,176.3,11.61,15.025,117.2,0
78.59,1.286,22.03,3.47,3.466,30.76,6023.1,1.47,0.038,15.07,191.9,14.62,14.947,119.6,1
78.36,0.572,22.1,0.39,3.515,30.67,6053.3,1.91,0.0016,14.72,179.5,12.0,15.06,119.8,0
76.33,1.196,21.72,0.59,3.461,30.28,5882.7,2.3,0.0283,15.21,188.4,12.08,15.116,122.2,0
76.84,0.228,22.16,0.35,3.519,30.17,5915.9,2.48,0.0048,15.12,181.3,11.81,15.012,120.7,0
76.85,0.867,22.06,0.16,3.516,31.61,6113.4,2.68,0.0019,15.21,178.0,11.69,15.024,120.2,0
75.57,2.87,22.06,0.42,3.369,29.76,6212.9,7.06,0.0228,15.45,153.9,11.01,15.185,119.7,1
75.2,0.843,23.27,0.15,3.504,29.1,5935.6,2.71,0.0045,15.01,186.5,11.76,14.734,122.4,0
79.21,0.356,22.03,0.67,3.54,30.11,5859.8,2.66,0.011,15.44,190.1,11.26,14.844,121.1,0
76.46,1.201,22.58,0.05,3.526,31.72,5988.1,1.61,0.0104,15.24,185.7,11.69,15.01,121.3,0
80.69,1.072,21.37,0.57,3.516,30.02,5862.6,2.13,0.0138,14.66,182.4,11.81,15.021,121.1,0
79.49,0.634,21.99,0.22,3.506,31.22,6047.5,1.69,0.0298,14.61,185.8,12.85,14.97,121.2,0
79.66,2.181,22.15,3.33,3.504,29.51,6057.0,5.04,0.001,15.14,179.1,11.38,15.72,122.5,1
77.72,2.051,21.6,0.36,3.489,29.44,5927.9,5.26,0.0027,14.69,181.4,11.89,15.621,119.3,1
77.11,1.317,21.97,0.09,3.542,30.4,5889.4,1.82,0.0045,14.64,187.3,12.62,14.795,117.4,0
77.82,1.478,21.21,0.49,3.5,29.47,5989.9,1.83,0.0034,14.76,178.4,11.35,15.037,120.6,0
79.2,0.694,22.34,0.64,3.488,30.16,5954.1,3.0,0.0095,14.95,181.3,12.43,14.923,119.2,0
79.92,0.257,22.53,0.42,3.509,29.4,6159.8,1.61,0.0575,14.96,182.2,11.72,15.252,119.9,0
77.4,0.903,21.92,0.43,3.54,30.49,6018.0,2.12,0.0148,16.37,179.3,11.99,15.026,119.5,0
82.93,2.057,22.11,0.7,3.47,30.2,5970.8,6.04,0.024,14.36,176.0,12.03,15.026,117.4,1
76.46,0.625,22.35,0.38,3.491,29.33,5950.5,2.01,0.0188,13.83,175.8,11.83,15.218,122.8,0
77.73,0.977,22.51,0.34,3.481,30.22,5886.6,2.46,0.0142,15.22,186.7,12.68,14.903,119.3,0
77.77,1.397,21.93,0.37,3.492,28.83,5902.6,2.05,0.0332,15.01,190.4,11.77,15.014,119.6,0
77.85,2.505,22.75,0.26,3.38,29.66,6035.2,0.91,0.008,14.05,184.7,11.55,15.091,120.4,1
78.93,1.058,22.09,0.09,3.541,29.04,6205.1,2.98,0.0101,14.84,167.1,11.61,15.209,119.7,0
77.64,1.111,21.33,0.29,3.568,28.8,5858.8,2.23,0.0408,14.92,185.6,12.39,14.922,123.1,1
80.03,0.825,20.34,0.42,3.521,30.77,5979.8,2.15,0.0118,14.62,179.4,11.46,15.14,118.0,0
80.82,1.056,22.08,3.47,3.492,30.99,6060.6,6.55,0.0085,15.06,182.3,12.16,14.444,119.9,1
73.57,2.588,22.46,0.62,3.652,31.08,5958.6,2.88,0.0319,14.72,178.3,11.01,14.378,120.4,1
77.9,0.937,22.23,0.51,3.503,29.54,5935.4,1.81,0.0032,14.89,185.4,11.34,14.856,118.1,0
79.61,1.23,22.0,0.56,3.546,29.78,6019.1,3.3,0.0208,14.57,180.1,11.21,15.058,121.0,0
78.23,0.559,22.45,2.52,3.461,30.88,6240.3,1.9,0.0013,14.47,187.3,11.75,14.426,122.9,1
79.55,0.375,21.98,0.37,3.451,30.6,5868.5,2.72,0.003,14.34,185.4,12.38,15.159,123.0,0
78.2,0.743,21.88,0.33,3.526,30.38,5759.7,2.18,0.0081,14.79,160.8,13.66,15.559,117.5,1
78.62,1.217,21.61,1.01,3.552,30.2,5913.1,2.13,0.0163,14.52,179.0,11.96,14.841,118.6,0
76.76,1.101,22.3,0.36,3.575,28.95,6191.6,2.75,0.0044,15.05,183.7,12.17,14.851,121.8,0
78.13,1.082,22.14,0.26,3.519,29.61,5956.1,2.0,0.0213,15.46,185.5,11.76,15.009,126.2,0
72.62,0.818,22.01,0.15,3.524,31.47,5907.8,7.19,0.0059,15.8,180.5,11.53,15.053,114.2,1
81.92,0.509,22.37,0.05,3.671,31.93,6039.4,2.78,0.0469,15.07,159.9,11.53,15.107,121.5,1
78.42,0.311,22.43,0.98,3.516,30.2,6088.1,1.98,0.027,15.31,183.1,11.63,15.02,118.9,0
79.21,1.47,21.99,0.01,3.502,30.32,6093.9,2.71,0.0377,14.94,185.4,11.5,15.193,122.6,0
78.82,1.003,21.3,0.1,3.5,29.95,6155.9,2.56,0.0002,15.48,175.9,11.56,15.063,120.7,0
77.32,2.637,21.77,0.09,3.344,29.85,6173.6,2.25,0.0002,14.75,151.0,11.26,15.213,114.0,1
77.67,1.296,22.28,0.73,3.514,29.38,5901.3,2.55,0.0079,14.13,181.6,11.77,15.083,123.8,0
78.77,1.326,21.14,0.22,3.533,31.54,5858.2,3.03,0.0301,15.01,176.9,12.76,14.882,120.5,0
76.59,0.352,21.91,0.39,3.448,30.53,5974.2,1.29,0.0048,14.83,180.9,11.87,14.899,122.7,0
78.42,1.714,22.14,0.07,3.551,29.18,6047.3,3.11,0.0071,14.17,185.8,11.49,14.951,122.8,0
78.29,1.039,21.59,0.57,3.416,29.48,5980.8,2.14,0.0208,15.35,178.3,11.44,14.956,120.4,0
78.13,0.632,21.98,0.13,3.499,28.47,5870.5,1.44,0.0217,14.76,180.5,11.67,14.934,116.5,0
77.8,0.966,21.99,0.7,3.44,28.74,5822.7,2.67,0.0237,14.8,180.8,12.21,15.089,119.6,0
80.95,1.429,22.38,0.27,3.461,29.43,6044.9,2.74,0.0288,14.81,183.7,12.48,14.924,122.1,0
76.83,1.152,22.68,0.47,3.486,31.84,5993.3,2.83,0.0098,14.61,180.0,11.34,15.223,121.3,0
80.6,0.928,21.98,0.1,3.535,29.53,5952.8,1.9,0.0061,15.17,189.4,10.59,14.934,120.5,0
81.1,0.688,22.54,0.11,3.453,30.72,6073.7,0.68,0.0222,13.79,187.0,11.65,14.975,118.3,0
79.58,1.269,21.99,0.63,3.492,28.89,5945.9,2.34,0.0289,15.0,183.7,12.41,15.194,118.2,0
75.78,0.596,22.24,0.67,3.483,28.98,6120.0,1.73,0.0257,14.68,188.0,11.06,14.903,120.7,0
77.72,1.193,21.64,0.37,3.478,30.7,5883.8,2.01,0.0118,14.88,182.5,10.64,15.042,122.6,0
77.78,0.972,22.03,0.35,3.493,28.73,5814.0,2.62,0.017,14.6,185.5,11.38,14.927,122.3,0
80.69,0.406,21.89,0.97,3.515,28.84,6038.0,1.36,0.0439,15.24,181.0,11.37,14.865,122.2,1
78.83,0.711,21.41,0.62,3.474,31.38,6137.4,1.93,0.0059,14.54,179.8,12.0,14.925,120.6,0
72.93,1.075,21.88,2.29,3.482,29.89,6105.8,1.5,0.0158,15.12,185.5,12.56,14.998,123.8,1
76.92,1.119,22.17,0.42,3.59,28.88,5912.3,2.32,0.018,15.8,177.4,11.58,15.076,116.4,0
78.0,0.888,22.29,0.28,3.485,30.38,6017.1,1.29,0.0181,15.1,180.3,11.3,14.951,120.0,0
75.6,1.43,21.55,0.32,3.553,28.66,5966.2,3.42,0.0113,14.99,177.2,12.44,14.865,120.9,0
77.64,0.6,23.02,0.4,3.501,30.28,5890.1,2.58,0.0084,13.95,176.4,12.16,15.109,122.4,0
80.66,0.569,22.18,0.31,3.529,30.24,5906.1,1.84,0.0104,15.36,181.5,11.75,14.96,120.5,0
77.19,0.806,22.3,0.22,3.587,29.8,6166.3,1.92,0.0251,15.73,172.2,11.06,14.92,119.5,0
79.0,0.673,21.37,0.36,3.475,30.2,6110.7,1.88,0.0048,15.29,180.4,11.78,15.206,118.5,0
78.83,1.013,21.74,0.37,3.502,29.58,6121.6,2.17,0.0419,15.16,181.6,11.95,15.184,119.5,0
76.15,2.524,22.65,0.62,3.497,28.53,6146.2,6.59,0.0031,14.49,148.0,12.05,15.53,124.4,1
76.72,1.05,21.92,0.63,3.481,31.42,5967.1,2.56,0.0043,14.85,185.1,11.28,14.941,116.9,0
78.91,0.855,22.87,0.14,3.552,27.51,5862.9,2.43,0.0444,15.1,181.8,12.28,14.991,115.0,0
77.35,0.918,22.94,0.11,3.513,30.99,6086.6,0.71,0.0241,15.39,189.0,12.42,14.913,120.6,1
75.11,1.224,21.83,0.53,3.516,30.06,6046.0,2.5,0.0276,14.84,186.7,12.38,15.011,116.4,0
78.06,0.774,22.23,0.74,3.527,28.65,5733.2,2.53,0.0143,14.45,175.4,11.64,14.973,120.9,0
81.95,0.843,22.24,0.13,3.629,29.83,6129.3,2.19,0.0001,14.94,152.1,15.55,15.105,118.9,1
79.16,1.557,22.19,0.09,3.475,29.28,6107.7,2.26,0.0292,15.35,176.9,12.21,15.053,120.7,0
71.88,0.999,21.54,0.19,3.542,31.44,6093.4,3.25,0.024,14.7,183.2,15.21,14.886,117.7,1
78.07,1.464,22.34,0.42,3.299,29.69,5996.2,6.08,0.0019,14.46,183.5,11.19,15.094,124.1,1
79.44,0.803,21.7,0.89,3.488,29.34,5874.7,2.8,0.0016,15.34,188.5,12.71,15.139,119.5,0
79.58,0.853,21.64,0.23,3.513,31.24,5932.7,1.74,0.0031,15.87,183.4,12.49,14.88,121.6,0
76.54,0.025,21.55,0.58,3.506,31.57,5975.0,1.53,0.0162,14.38,180.0,11.43,14.766,119.6,0
79.04,1.363,21.61,0.3,3.512,28.76,5964.8,1.69,0.0068,15.09,178.5,11.67,14.951,119.6,0
77.68,0.817,21.79,0.61,3.503,31.25,5898.4,0.74,0.0074,14.79,185.1,11.03,15.023,121.2,0
75.1,1.179,22.44,0.51,3.541,30.92,6046.4,2.94,0.0123,14.84,185.2,11.66,15.243,117.5,0
78.13,1.014,22.32,0.42,3.461,30.73,6001.5,3.19,0.0028,15.44,184.8,12.28,15.012,122.1,1
74.98,0.806,21.99,0.49,3.494,30.09,6120.1,2.28,0.0375,14.86,183.9,11.1,14.967,118.4,0
76.73,0.862,21.97,0.42,3.512,30.44,6048.7,2.35,0.0138,15.37,182.9,12.19,15.014,120.9,0
78.84,0.479,21.74,0.0,3.559,28.34,5899.0,2.37,0.0011,14.65,177.7,12.76,15.064,114.6,0
78.76,0.778,21.74,0.34,3.556,30.29,5989.3,2.03,0.0249,14.51,177.3,12.12,14.961,122.7,0
82.47,0.616,21.88,3.9,3.375,29.6,6224.3,2.09,0.0175,15.23,156.7,12.24,15.186,119.1,1
79.44,1.014,21.83,0.2,3.543,30.66,6008.0,2.27,0.0069,14.91,182.0,11.57,15.057,122.7,0
78.04,1.197,22.25,0.66,3.523,29.38,6106.0,2.49,0.004,14.99,184.0,11.81,15.107,118.2,0
78.42,0.868,21.62,0.85,3.542,28.99,5666.2,2.0,0.0014,14.96,179.5,11.99,14.98,118.1,0
